player,pos,exp,hgt,team,conf,min,mpg,ast_to,usg,ortg,ts,year,ft_pct,two_pct,three_pct,rim_pct,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,fg_pct,barthag,adj_o,adj_d,adj_t,wab,nc_elite_sos,nc_fut_sos,nc_cur_sos,ov_elite_sos,ov_fut_sos,ov_cur_sos,previous_team,previous_conference,is_transfer,previous_ortg,previous_drtg,previous_ts,previous_usg,previous_porpag,previous_adj_oe,previous_adj_de,previous_bpm,previous_team_adjo,previous_team_adjd,previous_barthag,change_ortg,change_drtg,change_ts,change_usg,change_porpag,change_adj_oe,change_adj_de,change_bpm,change_team_adjo,change_team_adjd,change_barthag
Johnathan Lawson,Wing G,Jr,7-Jun,Little Rock,OVC,92.2,37.1424,1.78789997,21.0,114.7,57.78,2025,0.793,0.448,0.429,0.5797,0.374,3.02076,3.48851,113.371,99.7479,104.534,211.396,2.99804,1.04527,4.04331,3.7,11.9,19.3,15.0,2.6,2.9,30.2,1.8,0.438692098,,,,,,19.0,0.42,0.42,9.0,0.3142,0.3142,Creighton,BE,True,88.6,104.298,35.66,18.0,0.00188305,88.7356,101.281,-4.84084,121.678,97.0567,0.930859,26.10000000000001,-4.5501000000000005,22.120000000000005,3.0,3.01887695,24.63539999999999,3.253,8.88415,,,
Johnathan Massie,Wing G,Jr,6-6,Longwood,BSth,62.5,25.4118,1.10709736,25.0,99.7,47.53,2024,0.694,0.376,0.333,0.4146,0.35,1.32921,2.70259,103.418,98.7094,100.4,169.256,0.53511,1.04776,1.58287,4.3,19.7,14.3,15.3,2.0,2.9,47.4,3.0,0.361842105263158,0.460483,104.124,105.568,66.851,-8.7531967925174,8.0,0.2588,0.2588,11.0,0.3661,0.3661,McNeese St.,Slnd,True,92.7,111.091,48.59,22.5,0.520591,92.1107,112.993,-3.96958,98.2587,112.967,0.167395,7.0,-12.381599999999992,-1.0600000000000023,2.5,0.808619,11.307300000000012,-12.59299999999999,5.55245,5.865299999999991,-7.399000000000001,0.293088
Johnathan Massie,Wing G,Sr,6-Jun,North Texas,Amer,47.3,22.0581,0.77774909,21.5,104.7,52.3,2025,0.753,0.438,0.333,0.4923,0.375,1.29904,2.93366,106.671,95.3697,93.6313,124.625,0.531602,2.7057,3.2373,6.2,18.9,9.2,16.6,1.4,3.4,52.7,2.6,0.408284024,,,,,,16.0,0.4526,0.4526,15.0,0.5136,0.5136,Longwood,BSth,True,99.7,98.7094,47.53,25.0,1.32921,103.418,100.4,1.58287,104.124,105.568,0.460483,5.0,-3.3397000000000077,4.769999999999996,-3.5,-0.03017000000000003,3.253,-6.76870000000001,1.6544299999999998,,,
Johnell Davis,Combo G,Sr,3-Jun,Arkansas,SEC,74.4,31.7353,1.07996734,19.3,104.5,52.57,2025,0.866,0.455,0.328,0.5326,0.36,2.19401,3.90307,109.849,103.838,96.0752,182.438,0.522151,2.14994,2.67209,2.6,9.2,9.1,13.7,0.6,2.6,28.4,2.8,0.390029326,,,,,,17.0,0.4555,0.4555,39.0,0.7292,0.7292,Florida Atlantic,Amer,True,114.0,102.663,59.87,27.2,4.15912,126.545,99.1808,5.90461,116.652,102.467,0.816219,-9.5,1.1749999999999972,-7.299999999999997,-7.899999999999999,-1.9651099999999997,-16.695999999999998,-3.1056000000000097,-3.23252,,,
Johni Broome,C,So,6-10,Auburn,SEC,64.0,26.4545,0.77189831,27.0,108.1,54.64,2023,0.56,0.549,0.29,0.689,0.3203,3.36765,3.85767,124.055,91.8336,87.0475,208.109,4.7949,3.27559,8.07049,12.4,22.9,12.0,14.0,9.6,1.9,34.0,4.5,0.527173913043478,0.882879,113.13,94.9057,67.5984,1.0534773361909,23.0,0.5986,0.5986,32.0,0.7111,0.7111,Morehead St.,OVC,True,106.9,85.6136,56.69,30.5,3.50329,120.12,87.2537,7.85085,102.811,98.2452,0.627714,1.1999999999999886,6.219999999999999,-2.049999999999997,-3.5,-0.13563999999999998,3.9350000000000023,-0.2061999999999955,0.21963999999999917,10.318999999999988,-3.339500000000001,0.255165
Johnnie Walter,Stretch 4,So,6-10,Penn,Ivy,17.6,10.6667,1.099958,14.0,92.7,45.34,2024,0.375,0.333,0.462,0.3333,0.3333,-0.0922792,0.548801,85.9206,115.585,114.781,27.8303,-3.03289,-2.0473,-5.08019,8.4,11.6,5.4,20.0,1.9,0.6,21.6,3.9,0.378378378378378,0.415865,108.76,112.021,65.5917,-11.415912992632,22.0,0.4687,0.4687,18.0,0.4836,0.4836,Cal St. Northridge,BW,True,62.6,106.486,31.12,11.8,-1.06202,54.5594,109.014,-8.22866,94.6609,108.753,0.168556,30.1,9.09899999999999,14.220000000000002,2.1999999999999993,0.9697408,31.361199999999997,5.76700000000001,3.1484699999999997,14.099100000000007,3.2680000000000007,0.24730899999999997
Johnny O'Neil,Stretch 4,Jr,6-10,Santa Clara,WCC,64.7,25.697,1.15561743,21.1,109.3,53.73,2024,0.66,0.554,0.331,0.6869,0.2857,2.06556,2.84993,111.588,100.356,98.8263,173.764,2.31291,1.77607,4.08898,5.6,17.7,11.9,14.4,3.2,1.9,17.2,3.7,0.438311688311688,0.637329,108.709,103.508,69.1522,-4.0031297196917,19.0,0.5291,0.5291,21.0,0.5345,0.5345,American,Pat,True,104.5,100.333,56.49,20.0,1.57445,101.661,104.997,0.826511,100.088,109.721,0.257929,4.799999999999997,0.022999999999996135,-2.760000000000005,1.1000000000000014,0.49111000000000016,9.926999999999992,-6.1706999999999965,3.2624690000000003,8.62100000000001,-6.213000000000008,0.3794
Johquin Wiley,Scoring PG,Sr,5-11,Hampton,BSth,29.9,13.76,2.0666666,11.1,67.8,31.27,2022,0.385,0.375,0.172,0.3333,0.4286,-1.31267,0.956452,57.538,103.247,107.098,49.7677,-6.03654,-0.330076,-6.36662,1.1,7.2,15.0,23.0,0.0,1.8,28.9,2.8,0.244444444444444,0.164193,91.3363,105.22,68.8944,-15.301045282115,9.0,0.3345,0.3345,8.0,0.3534,0.3534,Delaware St.,MEAC,True,84.3,112.838,44.36,18.4,-0.416681,81.7997,117.371,-5.71042,91.1448,115.977,0.0589222,-16.5,-9.590999999999994,-13.09,-7.299999999999999,-0.8959889999999999,-24.261700000000005,-10.272999999999996,-0.6562000000000001,0.19149999999999068,-10.757000000000005,0.1052708
Jomaru Brown,Scoring PG,Sr,6-2,Coastal Carolina,SB,44.1,23.5417,1.15097575,29.3,97.2,49.95,2023,0.971,0.452,0.232,0.4466,0.4651,1.61315,1.4988,106.834,110.712,111.017,92.4165,-0.969177,-0.996,-1.96518,1.6,9.7,21.8,18.9,0.0,3.4,32.6,4.1,0.381395348837209,0.241141,103.193,114.01,67.9376,-14.763564308192,9.0,0.322,0.322,11.0,0.4253,0.4253,Eastern Kentucky,ASun,True,93.7,102.682,47.91,34.1,1.33354,106.069,105.112,-1.61067,100.838,108.301,0.305524,3.5,8.030000000000001,2.0400000000000063,-4.800000000000001,0.27961000000000014,0.7650000000000006,5.905000000000001,-0.3545099999999999,2.355000000000004,5.709000000000003,-0.06438300000000002
Jon Sanders,Combo G,Sr,2-Jun,Northwestern St.,Slnd,45.6,19.7267,0.74629473,28.1,90.8,49.7,2025,0.839,0.35,0.382,0.3725,0.3333,0.624466,1.39315,98.9841,110.161,111.243,79.261,-2.3195,-2.54961,-4.86911,1.9,10.1,18.4,24.5,0.2,1.7,29.2,3.4,0.363207547,,,,,,27.0,0.5348,0.5348,16.0,0.4557,0.4557,Coastal Carolina,SB,True,91.0,115.994,47.17,22.6,0.290861,92.6522,117.345,-6.93669,98.6529,111.342,0.199167,-0.20000000000000284,-5.832999999999998,2.530000000000001,5.5,0.333605,6.3319000000000045,-6.102000000000004,2.0675799999999995,,,
Jonas Aidoo,C,Sr,11-Jun,Arkansas,SEC,42.9,18.8697,0.900011,18.6,113.5,58.48,2025,0.618,0.596,0.0,0.7162,0.4805,1.87161,2.73713,118.58,97.5193,89.6602,136.337,1.92997,3.57881,5.50879,9.9,19.6,8.2,14.8,6.4,2.0,48.1,4.0,0.569620253,,,,,,17.0,0.4555,0.4555,39.0,0.7292,0.7292,Tennessee,SEC,True,112.8,92.5061,53.65,22.6,2.80464,121.27,85.5449,5.97849,115.913,90.4424,0.945495,0.7000000000000028,5.013199999999998,4.829999999999998,-4.0,-0.93303,-2.6899999999999977,4.115300000000005,-0.46969999999999956,,,
